CAS	Name	A	B	C	Tmin	Tmax
3195-86-6	Ethylthiirane	21.124951806419226	3014.083886729206	-64.15	298.0	450.0
3221-61-2	2-Methyloctane	20.807540451349993	3223.388871682365	-69.15	313.0	444.0
3229-00-3	1,3-Dibromo-2,2-bis(bromomethyl)-propane	21.177220488030187	4768.002096009352	-88.247	439.0	466.0
3232-39-1	Diacetylsulfide	27.20472051181163	6511.422819850538	0.0	325.0	355.0
3234-49-9	1,2-Dibromopentane	21.062298466038854	3777.441501928778	-64.242	348.0	461.0
3238-40-2	Furan-2,5-dicarboxylic acid	36.06421599316832	14347.598829008617	-3.178	377.0	401.0
3240-94-6	4-(2-Chloroethyl)-morpholine	25.43115434393297	6467.270750692376	0.0	273.0	333.0
3270-86-8	O,O'-Diethyl S-(4-nitrophenyl)-thiophosphate	24.16540029246321	9132.052478814387	0.0	313.0	366.0
3274-29-1	2-Ethylheptanoic acid	26.260982985597092	7630.766998182268	0.0	386.0	475.0
3291-41-6	2,3-Difluoro-2-(trifluoromethyl)	22.853157047965905	2919.67789791645	0.0	193.0	248.0
3291-42-7	2,2-Difluoro-3-(trifluoromethyl)-2H-azirine	22.922234600755726	2887.4417066145334	0.0	193.0	249.0
3291-64-3	2,2,3-Trifluoro-3-(trifluoromethyl)-aziridine	23.52090672493418	3628.8741065586164	0.0	268.0	298.0
3296-50-2	trans-Hexahydroindane	20.679931185496265	3390.5772726995697	-63.819	361.0	479.0
3321-50-4	1,2-Dicyclohexylethane	26.74247655439308	7861.914305327568	0.0	368.0	402.0
3344-19-2	2-(4-tert-Butyl-phenoxy)ethyl acetate	23.55040283997543	6288.323047605251	-54.268	391.0	577.0
