CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
13779-87-8	Zirconium Iodide	I3Zr					-221752.0	-276819.0	397.776	80.82
13779-93-6	Lead Iodide	IPb					107738.0	60858.0	280.094	37.155
13779-98-1	Lead Iodide	I4Pb					-224467.0	-274914.0	466.266	106.313
13780-23-9	Mercapto-D	DS					138490.0	109585.0	201.484	32.52
13780-39-7	Titanium Chloride Oxide	Cl2OTi					-545552.0	-534994.0	321.001	71.952
13780-57-9	Sulfur Chloride Fluoride	ClF5S					-1038887.0	-940307.0	319.931	104.342
13783-04-5	Titanium Bromide	Br2Ti					-179075.0	-216558.0	308.685	60.026
13783-07-8	Titanium Iodide	I2Ti					-19665.0	-72369.0	323.673	60.57
13783-08-9	Titanium Iodide	I3Ti					-150206.0	-203035.0	382.164	80.8
13798-23-7	Sulfur	S6					101922.0	53699.0	354.076	111.571
13812-43-6	Nitrogen Fluoride, Cis	F2N2					68618.0	108745.0	259.81	49.961
13814-20-5	Titanium Fluoride	F2Ti					-688268.0	-694869.0	255.69	52.878
13814-22-7	Zirconium Fluoride	F3Zr					-1105413.0	-1094288.0	305.742	67.832
13814-25-0	Sulfur Fluoride	F2S					-296646.0	-303461.0	257.703	44.906
13814-49-8	Beryllium Bromide	BeBr					120110.0	77477.0	228.534	32.598
13814-50-1	Beryllium Chloride	BeCl					60668.0	31856.0	217.615	31.642
13814-65-8	Aluminum Chloride Fluoride	AlClF2					-999139.0	-985793.0	297.839	65.447
13819-84-6	Molybdenum Fluoride	F5Mo					-1241393.0	-1185363.0	347.655	102.763
13821-15-3	Sodium Tetrafluoroaluminate	AlF4Na					-1840960.0	-1799096.0	344.896	103.954
13821-20-0	Lithium Hexafluoroaluminate	AlF6Li3	-3317640.0	-3175109.0	245.847	202.506				
13824-36-7	Difluorosilane	H2F2Si					-790776.0	-763895.0	262.13	54.268
13827-26-4	Calcium Fluoride	CaF					-271960.0	-297799.0	229.647	33.661
13827-32-2	Sulfur Oxide	OS					5007.0	-21026.0	221.944	30.173
13840-33-0	Lithium Hypochlorite	ClLiO					-14226.0	-18167.0	256.417	42.961
13840-45-4	Titanium Iodide	ITi					274052.0	220386.0	268.827	38.459
13840-88-5	Boron Oxide	BO2					-284512.0	-290127.0	229.814	43.276
13841-19-5	Iodosilylidyne	ISi					313629.0	260868.0	253.854	39.038
13842-48-3	Tribromosilyl	Br3Si					-201694.0	-232894.0	351.774	74.578
13842-52-9	Dichloroborane	BCl2					-79496.0	-92544.0	272.677	47.375
13842-55-2	Difluoroborane	BF2					-589944.0	-601433.0	247.157	40.555
13842-56-3	Iodoborane	BI					305432.0	255091.0	232.75	33.558
13842-94-9	Zirconium Fluoride	F2Zr	-936951.0	-894968.0	100.846	65.94	-558146.0	-570601.0	283.434	48.652
13845-12-0	Aluminum Chloride	Al2Cl6					-1295743.0	-1220985.0	475.05	158.858
13847-65-9	Nitrogen Fluoride Oxide	F3NO					-163176.0	-96369.0	278.49	67.862
13863-41-7	Bromine Chloride	BrCl					14644.0	-967.0	240.001	34.99
13863-59-7	Bromine Fluoride	BrF					-58463.0	-73809.0	228.967	32.956
13867-66-8	Difluorohydroxyborane	HBF2O					-1083656.0	-1051646.0	269.174	51.982
13870-28-5	Sodium Silicate	Na2O5Si2	-2438485.0	-2299931.0	188.705	156.984				
13873-52-4	Phosphorus Fluoride	F2P					-488256.0	-493948.0	262.957	44.717
13873-84-2	Iodine Fluoride	FI					-94759.0	-117666.0	236.296	33.561
13874-36-7	Lithium Tetrafluoroberyllate	BeF4Li2	-2241068.0	-2151088.0	171.395	135.269				
13931-83-4	Nickel Chloride	ClNi					182004.0	149067.0	251.883	35.443
13931-84-5	Lead Chloride	ClPb					15062.0	-9770.0	259.613	36.234
13940-21-1	Mercapto	HS					139327.0	105260.0	195.628	32.447
13940-37-9	Zirconium Hydride	HZr					516306.00000000006	482928.0	216.158	29.687
13965-73-6	Difluoroborane	B2F4					-1431765.0	-1402315.0	318.473	76.891
13966-04-6	Nitrogen, Ion	N2+					1509499.0	1501440.0	197.66	29.137
13966-57-9	Clorosilylidyne	ClSi					198322.0	166278.0	237.833	35.78
13966-62-6	Mercury Hydride	HHg					238488.0	215132.0	219.705	30.043
13966-66-0	Difluorosilylene	F2Si					-587852.0	-598278.0	256.579	44.509
13966-70-6	Barium Fluoride	BaF					-322168.0	-346723.0	246.228	34.748
13967-06-1	Fluoroimidogen	FN					248948.0	243558.0	215.276	30.345
13967-14-1	Phosphinidene	HP					253550.0	226739.0	196.344	29.162
13967-22-1	Aluminum Hydride	HAl					259408.00000000003	231308.0	187.864	29.373
13967-29-8	Bromoimidogen	BrN					300758.0	281804.0	235.482	32.73
