CAS	name	Hfg	S0g
100-46-9	benzylamine	62230	359.23
100-47-0	benzonitrile	218800	321.48
100-51-6	benzyl alcohol	-100400	365.96
100-52-7	benzaldehyde	-36800	335.9
100-60-7	N-methylcyclohexylamine	-103000	378.2
100-61-8	N-methylaniline	88000	341.69
100-63-0	phenylhydrazine	203500	351.55
100-64-1	cyclohexanone oxime	-194000	377.69
100-66-3	anisole	-68000	361.5
100-71-0	2-ethylpyridine	78500	364.83
100-80-1	m-methylstyrene	115500	375.7
101-54-2	p-aminodiphenylamine	206000	450.91
101-68-8	diphenylmethane-4,4'-diisocyanate	-55800	
101-81-5	diphenylmethane	164580	437.64
101-83-7	dicyclohexylamine	-185000	475.32
101-84-8	diphenyl ether	44300	420.03
102-25-0	1,3,5-triethylbenzene	-74730	509.1
102-36-3	3,4-dichlorophenyl isocyanate	-2970	406.55
102-69-2	tripropylamine	-161000	531.21
102-71-6	triethanolamine	-562080	538.82
102-76-1	glyceryl triacetate	-1252700	677.3
102-82-9	tributylamine	-233000	657.69
102-86-3	trihexylamine	-347320	873.23
102-87-4	tridodecylamine	-718840	1574.4
102-88-5	trioctadecylamine	-1090400	2275.5
103-09-3	2-ethylhexyl acetate	-570000	606.75
103-11-7	2-ethylhexyl acrylate	-470000	642.68
103-29-7	1,2-diphenylethane	142880	474.01
103-30-0	trans-stilbene	241000	458.6
103-50-4	dibenzyl ether	19300	525.17
103-65-1	propylbenzene	7910	399.08
103-70-8	formanilide	-55200	329.35
103-71-9	phenyl isocyanate	-22100	352.28
103-73-1	phenetole	-101700	402.6
103-84-4	acetanilide	-128500	369.61
104-46-1	anethole	-41500	466.11
104-51-8	butylbenzene	-13140	440.28
104-72-3	decylbenzene	-137500	675.13
104-76-7	2-ethyl-1-hexanol	-365300	498.12
104-87-0	p-tolualdehyde	-70700	389.48
105-05-5	p-diethylbenzene	-20370	433.94
105-30-6	2-methyl-1-pentanol	-322900	448.39
105-34-0	methyl cyanoacetate	-237000	382.3
105-37-3	ethyl propanoate	-463600	403.27
105-38-4	vinyl propionate	-347360	385.62
105-42-0	4-methyl-2-hexanone	-305670	445.84
105-45-3	methyl acetoacetate	-589000	443.25
105-46-4	sec-butyl acetate	-503800	440.07
105-53-3	diethyl malonate	-781000	553.7
105-54-4	ethyl butanoate	-485500	442.42
105-56-6	ethyl cyanoacetate	-316140	413.5
105-57-7	acetal	-453500	455.04
105-58-8	diethyl carbonate	-639100	404.72
105-59-9	methyl diethanolamine	-380000	471.38
105-60-2	epsilon-caprolactam	-246200	364.31
105-66-8	propyl butanoate	-505300	482.25
105-67-9	2,4-xylenol	-162900	393.38
105-68-0	isopentyl propanoate	-529200	514.69
105-76-0	dibutyl maleate	-688000	742.88
106-21-8	3,7-dimethyl-1-octanol	-412520	577.37
106-27-4	3-methylbutyl butanoate	-551500	554.18
106-31-0	butyric anhydride	-660650	548.47
106-35-4	3-heptanone	-301000	449.1
106-36-5	propyl propanoate	-483100	442.76
106-38-7	p-bromotoluene	80400	363.7
106-42-3	p-xylene	18000	352.18
106-43-4	p-chlorotoluene	18200	342.46
106-44-5	p-cresol	-125300	350.87
106-46-7	p-dichlorobenzene	22200	337.09
106-47-8	p-chloroaniline	57300	356.45
106-48-9	p-chlorophenol	-145800	345.51
106-49-0	p-toluidine	45000	355.1
106-50-3	p-phenylenediamine	91200	350.31
106-63-8	isobutyl acrylate	-394000	476
106-67-2	4-methyl-2-ethyl-1-pentanol	-371240	499.46
106-88-7	1,2-epoxybutane	-110000	322.51
106-89-8	alpha-epichlorohydrin	-107800	319.7
106-93-4	1,2-dibromoethane	-38910	330.06
106-94-5	1-bromopropane	-87000	330.68
106-95-6	3-bromo-1-propene	49370	317.43
106-97-8	butane	-126800	304.4
106-98-9	1-butene	-500	307.88
106-99-0	butadiene (1,3 butadiene)	110000	278.83
107-00-6	ethylacetylene	165200	290.23
107-02-8	acrolein	-84000	280.54
107-03-9	propyl mercaptan	-67500	336.54
107-05-1	3-chloro-1-propene	-630	307.11
107-06-2	1,2-dichloroethane	-126800	306.08
107-07-3	2-chloroethanol	-262000	320.87
107-08-4	1-iodopropane	-30300	338.47
107-10-8	propylamine	-70100	325.43
107-11-9	allylamine	58200	312.82
107-12-0	propionitrile	51500	285.44
107-13-1	acrylonitrile	180600	273.83
107-15-3	ethylenediamine	-17320	321.52
107-18-6	allyl alcohol	-131900	308.25
107-19-7	propargyl alcohol	42200	293.28
107-20-0	chloroacetaldehyde	-191000	304.23
107-21-1	ethylene glycol	-387500	303.79
107-25-5	methyl vinyl ether	-108000	308.25
107-31-3	methyl formate	-349700	301.57
107-39-1	2,4,4-trimethyl-1-pentene	-111300	406.13
107-40-4	2,4,4-trimethyl-2-pentene	-107300	409.49
107-41-5	hexylene glycol	-534760	457.52
107-46-0	disiloxane, hexamethyl	-777700	535.06
107-80-2	1,3-dibromobutane	-78510	478.64
107-81-3	2-bromopentane	-125480	392.29
107-82-4	1-bromo-3-methylbutane	-125480	392.29
107-83-5	2-methylpentane	-174600	380.69
107-84-6	1-chloro-3-methylbutane	-180330	400.65
107-85-7	3-methylbutylamine	-112700	410.68
107-87-9	methyl propyl ketone	-259200	378.84
107-88-0	1,3-butanediol	-452000	343.83
107-92-6	butyric acid	-473600	353.05
107-93-7	trans-2-butenoic acid	-378000	338.41
107-96-0	3-mercaptopropionic acid	-405940	438.38
108-01-0	dimethylethanolamine	-202000	384.66
108-03-2	1-nitropropane	-125500	350.6
108-05-4	vinyl acetate	-315700	328.02
108-08-7	2,4-dimethylpentane	-201700	397.38
108-09-8	2-amino-4-methylpentane	-149500	403.62
108-10-1	4-methyl-2-pentanone	-286400	413.63
108-11-2	4-methyl-2-pentanol	-339200	436.21
108-18-9	diisopropylamine	-138800	450.61
108-20-3	diisopropyl ether	-319400	399.76
108-21-4	isopropyl acetate	-481700	390.86
108-24-7	acetic anhydride	-575720	390.55
108-30-5	succinic anhydride	-524100	336.81
108-31-6	maleic anhydride	-398300	316.14
108-36-1	m-dibromobenzene	125500	365.84
108-38-3	m-xylene	17300	358.55
108-39-4	m-cresol	-132300	356.24
108-41-8	m-chlorotoluene	18200	338.4
108-42-9	m-chloroaniline	57300	356.45
108-43-0	m-chlorophenol	-153300	351.54
108-44-1	m-toluidine	64000	355.1
108-45-2	m-phenylenediamine	91200	360.37
108-46-3	resorcinol	-274900	344.53
108-47-4	2,4-dimethylpyridine	63900	361.48
108-48-5	2,6-dimethylpyridine	58700	356.11
108-55-4	glutaric anhydride	-349000	352.82
108-57-6	m-divinylbenzene	212000	412.56
108-64-5	ethyl isovalerate	-527000	482.58
108-67-8	mesitylene	-15900	385.63
108-68-9	3,5-xylenol	-161500	392.04
108-70-3	1,3,5-trichlorobenzene	-6900	362.83
108-75-8	2,4,6-trimethylpyridine	20000	394.26
108-82-7	2,6-dimethyl-4-heptanol	-410000	521.91
108-83-8	diisobutyl ketone	-357600	509.96
108-86-1	bromobenzene	104200	324.89
108-87-2	methylcyclohexane	-154700	343.5
108-88-3	toluene	50200	321.08
108-89-4	4-methylpyridine	102100	319.3
108-90-7	chlorobenzene	51100	314.04
108-91-8	cyclohexylamine	-104900	351.76
108-93-0	cyclohexanol	-286800	352.93
108-94-1	cyclohexanone	-225700	334.61
108-95-2	phenol	-96400	314.73
108-98-5	phenyl mercaptan	111500	337.45
108-99-6	3-methylpyridine	106400	325.34
109-06-8	2-methylpyridine	99200	325.34
109-21-7	butyl butanoate	-524900	522.41
109-43-3	dibutyl sebacate	-1060000	984.39
109-52-4	pentanoic acid	-497000	397.57
109-60-4	propyl acetate	-464800	402.93
109-64-8	1,3-dibromopropane	-52590	374.95
109-65-9	1-bromobutane	-107320	370.41
109-66-0	pentane	-146800	349.25
109-67-1	1-pentene	-21300	347.03
109-69-3	1-chlorobutane	-147280	358.68
109-73-9	butylamine	-92000	364.59
109-74-0	butyronitrile	33500	325.93
109-75-1	vinylacetonitrile	157800	303.93
109-77-3	malononitrile	265500	287.52
109-78-4	hydracrylonitrile	-98300	331.33
109-79-5	butyl mercaptan	-87800	375.36
109-83-1	methylethanolamine	-198000	344.5
109-86-4	2-methoxyethanol	-434000	359.38
109-87-5	methylal	-348200	336.27
109-89-7	diethylamine	-71700	352.18
109-92-2	ethyl vinyl ether	-140900	349.51
109-93-3	divinyl ether	-14000	334.38
109-94-4	ethyl formate	-388300	328.65
109-97-7	pyrrole	108200	270.72
109-99-9	tetrahydrofuran	-184180	297.76
110-00-9	furan	-34700	267.49
110-01-0	tetrahydrothiophene	-33800	309.75
110-02-1	thiophene	114900	278.81
110-05-4	di-t-butyl peroxide	-341000	496.12
110-12-3	5-methyl-2-hexanone	-304000	447.09
110-15-6	succinic acid	-822900	403.03
110-16-7	maleic acid	-675800	393.74
