"CASRN"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"
"249932-25-0"	"HG-20"	"HF2C(OCF2)2OCF2H"	25	0.92	10900	5300	10200	4730	1400
"249932-26-1"	"HG-21"	"HF2COCF2CF2OC- F2OCF2OCF2H"	13.5	1.71	11100	3890	9110	2120	602
"188690-77-9"	"HG-30"	"HF2C(OCF2)3OCF2H"	25	1.65	15100	7330	14100	6530	1940
"22052-86-4"	"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane"	"CF3CF2CF2OCH2CH3"	0.8	0.28	223	61	70	10	8
"406-90-6"	"Fluoroxene"	"CF3CH2OCH=CH2"	0.01	0.01					
"37031-31-5"	"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane"	"CH2FOCF2CF2H"	6.2	0.34	3080	871	1880	207	122
"920979-28-8"	"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2- tetrafluoro-1-(trifluoromethyl)ethyl]-furan"	"C12H5F19O2"	1	0.49	204	56	66	10	8
"460-22-0"	"Fluoro(methoxy)methane"	"CH3OCH2F"	0.2	0.07	46	13	14	2	2
"359-15-9"	"Difluoro(methoxy)methane"	"CH3OCHF2"	1.1	0.17	528	144	173	25	20
"462-51-1"	"Fluoro(fluoromethoxy)methane"	"CH2FOCH2F"	0.9	0.19	479	130	153	22	18
"461-63-2"	"Difluoro(fluoromethoxy)methane"	"CH2FOCHF2"	3.3	0.3	2260	617	1010	115	86
"2261-01-0"	"Trifluoro(fluoromethoxy)methane"	"CH2FOCF3"	4.4	0.33	2730	751	1400	150	105
"73287-23-7"	"HG’-01"	"CH3OCF2CF2OCH3"	2	0.29	815	222	301	39	31
"485399-46-0"	"HG’-02"	"CH3O(CF2CF2O)2CH3"	2	0.56	868	236	320	42	33
"485399-48-2"	"HG’-03"	"CH3O(CF2CF2O)3CH3"	2	0.76	812	221	299	39	31
"428454-68-6"	"HFE-329me3"	"CF3CFHCF2OCF3"	40	0.48	7170	4550	7090	4690	2040
"185689-57-0"	"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol"	"CF3(CF2)4CH2CH2OH"	0.05	0.06	2				
"755-02-2"	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol"	"CF3(CF2)6CH2CH2OH"	0.05	0.07	1				
"87017-97-8"	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Non- adecafluoroundecan-1-ol"	"CF3(CF2)8CH2CH2OH"	0.05	0.05					
"425-87-6"	"2-Chloro-1,1,2-trifluoro-1-methoxyethane"	"CH3OCF2CHFCl"	1.4	0.21	449	122	153	21	17
"69991-67-9"	"PFPMIE (perfluoropolymethylisopropyl ether)"	"CF3OCF(CF3) CF2OCF2OCF3"	800	0.65	7500	9710	8070	9910	11300
"1187-93-5"	"HFE-216"	"CF3OCF=CF2"	0.02	0.02					
"85358-65-2"	"Trifluoromethyl formate"	"HCOOCF3"	3.5	0.31	2150	588	984	111	82
"313064-40-3"	"Perfluoroethyl formate"	"HCOOCF2CF3"	3.5	0.44	2130	580	971	110	81
"271257-42-2"	"Perfluoropropyl formate"	"HCOOCF2CF2CF3"	2.6	0.5	1380	376	555	68	52
"197218-56-7"	"Perfluorobutyl formate"	"HCOOCF2CF2CF2CF3"	3	0.56	1440	392	613	72	54
"32042-38-9"	"2,2,2-Trifluoroethyl formate"	"HCOOCH2CF3"	0.4	0.16	123	33	37	6	5
"1344118-09-7"	"3,3,3-Trifluoropropyl formate"	"HCOOCH2CH2CF3"	0.3	0.13	64	17	19	3	2
"481631-19-0"	"1,2,2,2-Tetrafluoroethyl formate"	"HCOOCHFCF3"	3.2	0.35	1720	470	755	87	65
