Name	CAS	Acronym	Formula	Lifetime, years	Radiative efficiency, W/m^2/ppb	20yr AGWP	20yr GWP	100yr AGWP	100yr GWP	500yr AGWP	500yr GWP	50yr AGTP	50yr GTP	100yr AGTP	100yr GTP	50yr CGTP	100yr CGTP
3,3,3-trifluoropropanal	460-40-2		CF3CH2CHO	0.008	0.005	2.21E-015	0.091	2.25E-015	0.025	2.25E-015	0.007	2.36E-018	0.006	1.79E-018	0.005	2.58	3.06
2-fluoroethanol	371-62-0		CH2FCH2OH	0.044	0.012	0.0000000000000465	1.91	0.0000000000000474	0.53	0.0000000000000474	0.151	4.97E-017	0.116	3.77E-017	0.095	54.4	64.4
2,2-difluoroethanol	359-13-7		CHF2CH2OH	0.167	0.046	0.000000000000542	22.3	0.000000000000553	6.18	0.000000000000553	1.76	5.8E-016	1.36	4.4E-016	1.11	634	751
2,2,2-trifluoroethanol	75-89-8		CF3CH2OH	0.458	0.117	0.00000000000313	129	0.0000000000032	35.7	0.0000000000032	10.2	3.36E-015	7.86	2.54E-015	6.44	3660	4340
HG-04	173350-38-4	HG-04	CHF2O(CF2CF2O)4CHF2	26.9	1.46	0.000000000204	8400	0.000000000392	4380	0.000000000403	1280	0.00000000000156	3660	0.000000000000538	1360		
1,1,1-trifluoropropan-2-one	421-50-1		CF3COCH3	0.014	0.011	7.88E-015	0.324	8.04E-015	0.09	8.04E-015	0.026	8.41E-018	0.02	6.39E-018	0.016	9.23	10.9
1,1,1-trifluorobutan-2-one	381-88-4		CF3COCH2CH3	0.018	0.01	8.34E-015	0.343	8.51E-015	0.095	8.51E-015	0.027	8.91E-018	0.021	6.76E-018	0.017	9.77	11.6
1-chloro-2-ethenoxyethane	110-75-8	2ClEVE	ClCH2CH2OCH=CH2	0	0.001	1.65E-017	0.001	1.68E-017	0	1.68E-017	0	1.76E-020	0	1.33E-020	0	0.019	0.023
Ethane	74-84-0		C2H6	0.159	0.001	0.0000000000000383	1.57	0.0000000000000391	0.437	0.0000000000000391	0.125	4.1E-017	0.096	3.11E-017	0.079	44.8	53
Propane	74-98-6		C3H8	0.036	0	1.75E-015	0.072	1.78E-015	0.02	1.78E-015	0.006	1.87E-018	0.004	1.41E-018	0.004	2.04	2.42
