CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
557-93-7	16100.000000000002	6000.0	4900.0
557-98-2	15500.0	6700.0	2200.0
557-99-3	14700.0	14000.0	5700.0
558-30-5	16100.000000000002	4800.0	5800.0
563-45-1	14000.0	1400.0	3800.0
563-46-2	14200.0	1800.0	2300.0
563-47-3	16200.0	5600.0	2000.0
563-54-2	17000.0	8500.0	2900.0
563-58-6	16900.0	6700.0	2900.0
563-78-0	14900.0	1200.0	2800.0
576-26-1	19100.0	4900.0	12900.0
577-71-9	19500.0	12800.0	14300.0
578-57-4	19800.0	8400.0	6700.0
583-53-9	20700.0	6500.0	5300.0
583-59-5	17100.0	6500.0	12500.0
583-60-8	17600.0	6300.0	4700.0
583-78-8	20000.0	6300.0	12100.0
584-84-9	19300.0	7900.0	6100.0
586-11-8	19500.0	12900.0	14400.0
586-75-4	20200.0	6500.0	5500.0
586-78-7	20900.0	9900.0	5900.0
586-96-9	20000.0	12700.0	4000.0
588-96-5	19500.0	7700.0	5300.0
589-82-2	15900.0	5400.0	11700.0
589-91-3	17200.0	6300.0	12500.0
590-01-2	15700.0	5500.0	5900.0
590-14-7	16300.0	6400.0	5000.0
590-19-2	14700.0	1700.0	6200.0
590-21-6	15300.0	6900.0	2200.0
590-67-0	17100.0	6400.0	12500.0
590-86-3	14700.0	9500.0	5000.0
591-23-1	17200.0	6400.0	12500.0
591-24-2	17700.0	6300.0	4700.0
591-50-4	19500.0	6000.0	6100.0
591-60-6	16600.0	5800.0	7300.0
591-78-6	15300.0	6100.0	4100.0
591-80-0	16700.0	4700.0	11300.0
591-87-7	15700.0	4500.0	8000.0
591-97-9	16200.0	7700.0	2000.0
592-51-8	16300.0	11200.0	5000.0
592-76-7	15000.0	1100.0	2600.0
593-53-3	13400.0	10600.0	9500.0
593-60-2	16100.000000000002	6300.0	2300.0
593-61-3	15700.0	9900.0	5600.0
593-63-5	16200.0	2100.0	2500.0
593-66-8	17100.0	5500.0	7300.0
593-67-9	15700.0	7200.0	11800.0
593-92-0	15100.0	4800.0	7000.0
594-44-5	17700.0	14900.0	6800.0
594-72-9	16800.0	12100.0	4300.0
598-16-3	18300.0	9400.0	8000.0
598-19-6	17100.0	9900.0	16200.0
598-25-4	15100.0	2500.0	4500.0
598-58-3	15800.0	14000.0	4800.0
598-75-4	15600.0	5200.0	13400.0
