CAS	Tm	Tb	Vms	Vml
10137-90-3		438.15		
101376-26-5	502.65			
10138-02-0	361.15			
10138-10-0		435.15		
10138-21-3		395.15		0.00014659735
10138-32-6				0.00015765911
10138-36-0				
10138-41-7	1047.15			
10138-44-0				
10138-52-0	882.15			
10138-59-7				0.00021609239
10138-60-0		422.15		
10138-62-2	991.15			
10138-79-1				0.000207675
10138-89-3		430.15		
101384-63-8	507.15			
101385-90-4				
10139-05-6	428.15			
10139-47-6	719.15		6.7339439e-05	
10139-61-4	478.15			
101395-72-6				0.0001195511
101398-04-3	452.15			
101398-06-5	483.65			
101398-10-1	398.65			
1014-05-7	335.15			
1014-06-8	446.15			
1014-15-9	518.65			
1014-18-2	353.65			
1014-66-0				
1014-69-3	358.15	618.15	0.00018199659	
1014-70-6	355.65			
1014-72-8	354.15	357.65		
1014-81-9	364.65			
1014-83-1	382.65			
1014-98-8	318.65			
10140-70-2	479.15			
10140-87-1				0.00012076923
10140-89-3				8.9039271e-05
10140-96-2				
10140-97-3	338.15			
10141-05-6	375.65		4.8974313e-05	
10141-50-1	507.15			
101420-64-8	562.65			
101420-66-0	474.15			
101420-67-1	525.15			
101421-71-0	466.15			
101421-72-1	486.9			
101421-74-3	423.4			
101421-78-7	548.15			
10143-23-4				0.00013899522
10143-53-0				0.00017025505
10143-54-1				0.0001461708
10143-60-9		542.55		
10143-66-5		391.65		
10143-67-6				0.0001828
101463-69-8	444.15			
101469-92-5	333.65			
10147-36-1	236.15	350.15		0.00011203646
10147-37-2	226.15			0.00011277185
10147-40-7	315.65		0.0002585	
10147-53-2	475.15			
101470-79-5	437.65			
101477-54-7	489.15			
10148-69-3	499.65			
10148-70-6	527.15			
101494-83-1	408.15			
101494-94-4	471.65			
101494-95-5	572.65			
1015-38-9	300.65			
1015-55-0	335.15			
1015-89-0		708.15		
10150-93-3				
101508-48-9	406.15			
1015082-78-6	484.15			
1015082-79-7	530.15			
1015082-80-0	409.15			
1015082-81-1	467.15			
10151-02-7				
10151-74-3	174.65			0.00019152272
10151-78-7				
10152-76-8		365.15		
101530-10-3	414.65			
10154-75-3	366.65			
10154-97-9	431.15			
1015479-09-0	567.15			
1015480-88-2	418.3			
1015480-95-1	425.35			
1015484-23-7	378.65			
10155-47-2	415.15			
10155-48-3	409.75			
10156-37-3	400.9			
101567-38-8				
101568-44-9	427.15			
10157-76-3	303.15			
101580-70-5	364.15			
10159-46-3				
10159-53-2	388.15			
1016-05-3	502.65			
1016-20-2	393.15			
1016-40-6	344.15			
1016-41-7	314.15			
1016-42-8	424.65			
1016-47-3	354.65			
1016-50-8	406.65			
1016-53-1	372.65			
1016-58-6	418.65			
1016-59-7	381.15			
1016-60-0				
1016-77-9	354.15			
1016-78-0	502.15	356.4		
1016-82-6	316.15			
1016-94-0	390.15			
10160-24-4				
10160-25-5				
10160-87-9		412.15		
10161-33-8	459.15			
10161-34-9	369.65			
10162-99-9	445.65			
101622-51-9	398.65			
101623-69-2	344.5			
1016230-30-0	371.15			
10163-62-9				0.00021206186
10163-84-5	473.15			
10165-13-6				6.9828829e-05
101655-92-9	451.65			
10166-07-1	474.65			
10166-08-2		494.15		
10166-40-2	472.65			
101667-98-5	387.65			
101667-99-6	410.65			
10168-60-2				
101682-70-6	357.15			
101688-02-2	410.65			
10169-55-8	340.65			
1017-07-8				
1017-56-7	421.15			
1017-58-9	405.15			
1017-74-9	350.65			
1017-79-4	397.15			
1017-89-6	463.15			
10170-03-3	557.65			
101704-19-2				
10171-61-6	471.65			
101712-20-3				
10172-69-7	493.65			
10172-70-0	508.65			
10172-73-3	487.65			
10172-75-5	515.15			
10172-89-1	443.65			
1017238-97-9	497.15			
101724-23-6	301.15			
10173-01-0	403.15			
10173-54-3	409.15			
