CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
106934	283	282.9	404									223.3				39000	246	404.7	28.480997	9443.2376	153.034
106945		162.95263	343.9	539.85915		4798000			-124400	-86367.69						32085.596	220	344	21.097574	2900.8796	-41.108
106956		154.13975	343.6	544.4					19837.118	47676.507						32851.572					
106967			362.2																		
106978	134.6	136	273	425	0.7	3800000	0.00025738107			-125641.89		229.2588				22400	272.66	425	21.542434	2706.8753	-2.071
106989	87.8199		266.8	419.53366		4020000	0.0002408			-630		228.22311				20652.693	195.7	269.4	21.291912	2531.0177	-8.256
106990	164.24	164.3	268.6	425		4320000	0.000221		90500	110082.46		199				21362.175	197.7	271.7	20.718615	2168.2569	-32.753
10604703														100000							
10606469		397.07																			
106389611										470000											
10639266								-2484100													
1064104								702866.67		891000				188300							
106411501										431000											
106562316										-51900											
1066359			309																		
1066371									-259700	-222000						37700					
1066406																	291	357.8	24.052597	4070.4316	-44.888
1066440								-204200	-185500	-141900				58600		47300					
1066451								-245600	-212500	-195400				50200							
1066542			326																		
1066575																48800					
106623852										-23000											
106623863										-30000											
106623874										-50600											
106627150								-917100													
1067089		182.5	391.5	576.50177		2809718.3	0.000455		-253000	-215000						38048.889	249.3	391.5	20.834181	3177.8668	-49.963
1067205	240.1019	241	419.3									333.4	436.52			42523.753	336.03	420.34	20.787807	3357.496	-56.803
1067250			416																		
1067421		199																			
1068195			408.38725													42200					
1068877		150.75	409.69862						-269700	-227400						42300					
1069530		145.25	404						-284000	-242600						41449.26					
107006	147.43	147.49032	283	448.29218		4600000	0.000208			165572.33		197.48				23760.752	194.39	282.7	21.276347	2410.528	-33.951
107028		186.14623	330														208.7	325.7	20.990043	2689.1615	-41.56
107039	159.98853	160	340.9	536.17495			0.00028653295		-100600	-68580		242.5				32005.542	297.42	375.24	20.846523	2724.8608	-48.516
107040		256.35803	390													38130	244.4	379.8	21.633708	3455.7128	-37.88
107051		138.60132	318.2							-5600						29900	286.4	317.1	16.672627	840.72217	-154.919
107062	237.59826	230	356.7	561.40773		5380000	0.0002247191		-167488.4	-131309.25		208.53				35100	242.33	372.6	22.070693	3504.0487	-24.67
107073		210.4775	402													48297.151	269	402	24.042811	4794.1272	-18.844
107084		171.75	375.5						-65700	-31000						36303.429	237	375.7	21.520214	3470.9398	-28.449
107108	188.3704	190.00127	322	496.99998		4737960			-101565.05	-70037.863		227.80467				31290.312	296.12	350.74	20.841527	2403.9633	-62.314
107119			328.62853						10000												
