CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
110-59-8	15300.0	11000.0	4800.0
110-61-2	18200.0	17000.0	7900.0
110-62-3	15700.0	9400.0	5800.0
110-63-4	16600.0	11000.0	20900.0
110-67-8	16600.0	14400.0	7800.0
110-71-4	15400.0	6000.0	6000.0
110-74-7	15500.0	7100.0	8600.0
110-75-8	16300.0	6700.0	5800.0
110-80-5	15900.0	7200.0	14000.0
110-81-6	17000.0	6700.0	5700.0
110-82-7	16800.0	0.0	200.0
110-83-8	17200.0	1000.0	2000.0
110-85-0	17300.0	4800.0	6000.0
110-86-1	19000.0	8800.0	5900.0
110-87-2	17500.0	5500.0	5700.0
110-88-3	18700.0	9200.0	8600.0
110-89-4	17300.0	4500.0	8200.0
110-91-8	18000.0	4900.0	11000.0
111-15-9	15900.0	4700.0	10600.0
111-20-6	17100.0	7100.0	11700.0
111-27-3	15900.0	5800.0	12500.0
111-34-2	15200.0	4100.0	5100.0
111-40-0	16700.0	7100.0	14300.0
111-42-2	17200.0	7000.0	19000.0
111-43-3	15100.0	3200.0	3200.0
111-44-4	18800.0	9000.0	5700.0
111-46-6	16600.0	12000.0	19000.0
111-48-8	17300.0	8800.0	19800.0
111-55-7	16200.0	4700.0	9800.0
111-62-6	16200.0	3200.0	4000.0
111-65-9	15500.0	0.0	0.0
111-66-0	15300.0	1000.0	2400.0
111-70-6	16000.0	5300.0	11700.0
111-76-2	16000.0	5100.0	12300.0
111-77-3	16200.0	7800.0	12600.0
111-84-2	15700.0	0.0	0.0
111-87-5	16000.0	5000.0	11200.0
111-90-0	16100.000000000002	9200.0	12200.0
111-91-1	17100.0	10200.0	7100.0
111-92-2	15000.0	3000.0	4300.0
111-96-6	15700.0	6100.0	6500.0
112-06-1	15800.0	2900.0	5500.0
112-07-2	15300.0	7500.0	6800.0
112-14-1	15800.0	2900.0	5100.0
112-15-2	16200.0	5100.0	9200.0
112-25-4	16000.0	5000.0	11400.0
112-27-6	16000.0	12500.0	18600.0
112-28-7	15500.0	5700.0	11200.0
112-30-1	16000.0	4700.0	10500.0
112-34-5	16000.0	7000.0	10600.0
112-35-6	16200.0	7600.0	12500.0
112-36-7	15800.0	5900.0	5600.0
112-40-3	16000.0	0.0	0.0
112-48-1	15700.0	4500.0	4200.0
112-53-8	16000.0	4000.0	9300.0
112-58-3	16000.0	3000.0	2800.0
112-59-4	16000.0	6000.0	10000.0
112-62-9	16200.0	3800.0	4500.0
112-70-9	16200.0	3100.0	9000.0
112-73-2	15800.0	4700.0	4400.0
112-80-1	16000.0	2800.0	6200.0
112-95-8	16500.0	0.0	0.0
115-07-1	13300.0	1600.0	1500.0
115-10-6	15200.0	6100.0	5700.0
115-11-7	14500.0	2000.0	1500.0
115-86-6	20100.0	6400.0	6800.0
116-11-0	14800.0	4200.0	5600.0
116-14-3	15100.0	0.0	0.0
116-16-5	18300.0	3000.0	3000.0
117-81-7	16600.0	7000.0	3100.0
118-74-1	20300.0	2100.0	0.0
118-79-6	20600.0	10200.0	14100.0
118-96-7	19500.0	3500.0	4400.0
119-06-2	16600.0	5400.0	1900.0
119-36-8	18100.0	8000.0	13900.0
119-53-9	19900.0	9700.0	10700.0
119-61-9	19500.0	7200.0	5100.0
119-64-2	19600.0	2000.0	2900.0
120-51-4	20000.0	5100.0	5200.0
120-72-9	20500.0	7500.0	6500.0
120-73-0	20500.0	11700.0	14200.0
120-80-9	20000.0	11300.0	21800.0
120-82-1	20200.0	4200.0	3200.0
120-83-2	20000.0	7200.0	13100.0
120-92-3	17900.0	11900.0	5200.0
120-94-5	16800.0	2800.0	6700.0
121-14-2	20000.0	13100.0	4900.0
121-33-5	19400.0	9800.0	11200.0
121-44-8	15500.0	400.0	1000.0
122-01-0	19900.0	6700.0	5100.0
122-32-7	16000.0	3800.0	3200.0
122-39-4	20000.0	3300.0	5900.0
122-62-3	16200.0	5000.0	9000.0
122-79-2	19800.0	5200.0	6400.0
122-99-6	17800.0	5700.0	14300.0
123-07-9	18300.0	5200.0	12600.0
